Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	9	0.7275	0.7425	-0.0175	0	99.885	0.8864	0.031	0.045	0.0293	0	0.115	0.101129323819232	104
Pop	109	9	0.7188	0.7125	0.01	0	99.7712	1	0.0297	0.0309	0.0178	0	0.2287	0.112790876656473	105
Pop	109	8.75	0.7325	0.7362	-0.0025	0	100	1.0308	0.0256	0.0333	0.025	0	0	0.108864899762147	106
Pop	109	8.625	0.7238	0.7512	-0.0363	0	100	0.8851	0.0258	0.0306	0.0096	0	0	0.103541131498471	107
Pop	109	8.875	0.7462	0.7588	-0.0162	0	99.7712	0.9899	0.0253	0.0286	0.0165	0	0.2287	0.101318824328916	108
Pop	109	8.75	0.72	0.7375	-0.025	0	100	0.959	0.0278	0.03	0.023	0	0	0.102259768943255	109
Pop	109	8.5	0.7362	0.74	-0.0038	0	99.5413	0.9449	0.0251	0.0261	0.0146	0	0.4588	0.102870998980632	110
Pop	109	8.875	0.7213	0.7112	0.0125	0	99.6562	0.8332	0.0296	0.0301	0.0253	0	0.3437	0.106586986068637	111
Pop	109	8.75	0.7163	0.735	-0.0275	0	99.5413	0.9014	0.0322	0.0301	0.0158	0	0.4588	0.100611450900442	112
Pop	109	8.75	0.7375	0.7362	0.005	0	100	1.0308	0.0256	0.0361	0.0289	0	0	0.103277420998981	113
Pop	109	8.5	0.7125	0.7262	-0.0175	0	100	1.0856	0.034	0.0384	0.0178	0	0	0.103226112810058	114
Pop	109	9	0.7412	0.7525	-0.0138	0	99.885	0.982	0.0225	0.0291	0.0205	0	0.115	0.100158919469929	115
Pop	109	8.875	0.7425	0.7512	-0.015	0	100	0.9531	0.0266	0.0262	0.0204	0	0	0.0958654434250765	116
Pop	109	8.375	0.71	0.7138	-0.0088	0	99.7712	0.8004	0.0279	0.0239	0.0173	0	0.2287	0.105653431872239	117
Pop	109	8.75	0.74	0.7263	0.0213	0	99.5413	1.048	0.0215	0.0348	0.0213	0	0.4588	0.109657577302073	118
Pop	109	8.5	0.7175	0.73	-0.0212	0	99.885	0.982	0.0319	0.0308	0.0252	0	0.115	0.105085507985049	119
Pop	109	8.875	0.7388	0.745	-0.0087	0	99.885	1.0078	0.0281	0.0331	0.0155	0	0.115	0.103794801223242	120
Pop	109	8.75	0.725	0.7275	0.0012	0	99.885	0.8399	0.0235	0.0398	0.0279	0	0.115	0.108043085287122	121
Pop	109	9.125	0.725	0.7275	-0.005	0	99.7712	0.9717	0.0304	0.0353	0.0238	0	0.2287	0.105343985728848	122
Pop	109	9.125	0.7475	0.785	-0.0512	0	99.885	0.9717	0.0295	0.0354	0.0236	0	0.115	0.0955292388718994	123
Pop	109	8.75	0.7275	0.7238	0.0112	0	100	1.0649	0.0279	0.0404	0.0219	0	0	0.106051936799185	124
Pop	109	9	0.72	0.7462	-0.0338	0	99.885	1	0.029	0.0376	0.0196	0	0.115	0.0986111790689772	125
Pop	109	8.875	0.7238	0.7188	0.005	0	99.885	0.9531	0.0293	0.0315	0.0193	0	0.115	0.10577752293578	126
Pop	109	8.375	0.7312	0.7412	-0.0137	0	99.885	0.8851	0.0269	0.0319	0.0143	0	0.115	0.107553567787971	127
Pop	109	8.75	0.7412	0.7538	-0.0138	0	99.885	1.0649	0.0308	0.0395	0.0177	0	0.115	0.094611043153245	128
Pop	109	8.625	0.7388	0.7438	-0.0038	0	100	0.8647	0.0245	0.032	0.016	0	0	0.106148844716276	129
Pop	109	8.75	0.7263	0.7537	-0.0388	0	99.885	0.9774	0.0266	0.0271	0.0256	0	0.115	0.0974344376486578	130
